"","A","R","N","D","C","E","Q","G","H","I","L","K","M","F","P","S","T","W","Y","V","U","O","Clan_ancestor","Clans_copies","Clans_clustering","Clans_transfer","Clans_GC","median_ClanLen","mean_ClanLen"
"CL0192",0.0977202808943396,0.0397844779037736,0.0277469912388679,0.0255812829483019,0.00866722382830189,0.0312199157411321,0.0215703160237736,0.07218645868,0.0166544800841509,0.0812639289098113,0.144723632224906,0.0297880055241509,0.0250933100086792,0.073954917225283,0.0368350990079245,0.0629235768909434,0.0520468005618868,0.0233575441856604,0.0443340962411321,0.0845476616864151,0,0,"LUCA",1,1.02584385696638,0.15720232,0.43795842123061,199,195.465985
"CL0023",0.085369289917263,0.0657168394936673,0.0356342043960768,0.0616363431413788,0.00930160395098594,0.071198995211682,0.0378380305216496,0.0712714779135818,0.0218201216714462,0.0634533508253617,0.105671565293441,0.053962629029115,0.0200645690040416,0.039100685145961,0.0411465695701231,0.0567505874407404,0.0527889484310354,0.00978282618866807,0.0283343034503939,0.0691570594939762,0,0.000000000755290119960871,"preLUCA",51,0.903515499790837,0.165694032638889,0.472154664422929,153,170.499281
"CL0190",0.06963931045625,0.0709349229,0.03441934748125,0.07375003535625,0.00498282383125,0.09977104405,0.02519220906875,0.06001217335625,0.016283456725,0.06835168949375,0.0903596128875,0.07658937989375,0.01022003878125,0.027057891375,0.04504010809375,0.05088627730625,0.052788230875,0.00245602050625,0.02703779664375,0.094227630525,0,0,"LUCA",1,0.888918999064022,0.0969417,0.467145150301955,96,91.14895294
"CL0108",0.103705703248735,0.0523208968779826,0.034342533860388,0.0575205557705471,0.0110384043419499,0.0660725402735599,0.0298978046806459,0.0911780305970113,0.0208088878600265,0.0690812002835021,0.0980914459882502,0.0482336233459267,0.0215631225212099,0.0335220483145336,0.0418457985296457,0.0559591047519884,0.0541429023225476,0.00744642122161967,0.024947936310617,0.0782810389151603,0,0,"preLUCA",5,0.78501146789694,0.13813774,0.495395132792728,248,256.012839
"CL0007",0.0633833080790323,0.0671537529629032,0.0404956060806452,0.0570706294870968,0.00566250119354839,0.0863099863516129,0.0299758700274194,0.0692320182241935,0.013108296866129,0.10832058588871,0.0774516763258064,0.0823806029145161,0.0189823456806452,0.0239509803064516,0.038112040366129,0.0570532776806452,0.0449742590467742,0.00799111212258065,0.0180757216903226,0.0903154283919355,0,0,"preLUCA",2,0.760122161104337,0.0502133375,0.445141782555656,67,64.27449927
"PF00015",0.157204553,0.04724019,0.047550225,0.046691786,0.001024261,0.100161236,0.070200714,0.061557262,0.01112706,0.083801703,0.059192349,0.035857944,0.021260852,0.012153374,0.000458747,0.08718198,0.067329438,0.000113611,0.002196354,0.08769636,0,0,"postLUCA",1,0.835133849162005,0.1887215,0.499725838542401,158,159.8264681
"CL0036",0.100469981804382,0.0563846749525392,0.0380375300370035,0.0652710617755386,0.0109728239942689,0.0656911610550359,0.0329925541448669,0.0797199557706909,0.0253198690362637,0.0576568655814883,0.089543181842909,0.0467415264370742,0.0234728851993949,0.0381592859725152,0.0473761892366744,0.0513959274712287,0.050303967138915,0.0170906936778564,0.0347195159856447,0.0686803490017116,0,0.00000220357045903775,"preLUCA",46,0.838453629086022,0.160586004878049,0.493540197283415,241,245.8342781
"CL0465",0.139778382635628,0.0426961657004049,0.0657861722591093,0.0700815489068826,0.00942797792307692,0.051122426097166,0.0267130005991903,0.0787295582591093,0.0332977068825911,0.0482175153238866,0.133249606417004,0.050446270708502,0.0196521669068826,0.0179599580526316,0.0333442429838057,0.0356089312226721,0.0505826922631579,0.00809384003643725,0.02217883051417,0.063033006805668,0,0,"postLUCA",5,1.13020910896474,0.4573129,0.505553826670043,72,68.64224582
"CL0168",0.102718090769231,0.0594685951923077,0.0473990195769231,0.0947631070384616,0.079139686,0.0384636688846154,0.0376921602692308,0.0615628020576923,0.00525393542307692,0.0207173827307692,0.0642126989230769,0.0553485324807692,0.00834674182692308,0.0580812489230769,0.0394071757115385,0.0649787362307692,0.0677703500384615,0.0164899262307692,0.0390327024230769,0.0391534397884615,0,0,"modern",NA,0.834202215565663,0.1677195,0.506337970090017,51,50.32718894
"CL0029",0.0784302297566181,0.0595768119732774,0.033704605247262,0.0619469991369923,0.0111267767039865,0.0680856166462857,0.0354799416372739,0.0811988666522936,0.0361717464794418,0.0508542291212216,0.0901454449643282,0.0398001453421991,0.0198020118642593,0.0466864109760936,0.0587900843027098,0.0535986183643532,0.0508266446889042,0.0178930458764003,0.0340248111328619,0.0718569590993179,0,0,"preLUCA",9,0.942264812426484,0.220268183636364,0.496467557112354,91,112.0990868
"CL0159",0.0837274013145308,0.0406055357187696,0.0509334286159687,0.0645179337119242,0.00524736324461184,0.055561248656264,0.0343788768394464,0.0784102770497115,0.0141789941951992,0.053351335889696,0.071703328116163,0.0474859750060084,0.0123489778928048,0.0361606649814366,0.05090908792201,0.0707998599033868,0.0919194029555795,0.0139836455137058,0.035511711837892,0.0882649511311392,0,0,"preLUCA",10,0.86181836922959,0.249465419631902,0.484602241088104,83,88.2160582
"CL0333",0.0691270813424658,0.0625408791095891,0.0624282617671233,0.0741000389794521,0.0306721263356164,0.0388186345205479,0.0274705992328767,0.104040668863014,0.0180334734589041,0.0415828153287671,0.0522995501643836,0.028246678369863,0.00951191132876713,0.053545093869863,0.0338917095068493,0.0917799195958904,0.0494594272123288,0.026342152239726,0.0582330809520548,0.0678758988219178,0,0,"modern",NA,0.757010115282894,0.31997775,0.489217455451116,70,69.08434959
"PF00032",0.094178599,0.037876836,0.019323076,0.02845732,0.005153311,0.02154084,0.015697353,0.070359259,0.010083925,0.076090477,0.126765929,0.033559097,0.026142011,0.083978724,0.08565171,0.043679832,0.048689587,0.036640041,0.049190194,0.086941878,0,0,"postLUCA",1,1.226268569897,0.07944545,0.471622575611206,95,95.41088674
"CL0328",0.105237763339249,0.0434060569255973,0.0199398771638225,0.020893988116041,0.00699536524641638,0.0212931786614334,0.0202755235938567,0.0899576272430034,0.0307137395085324,0.0687178290941979,0.150304075466894,0.022407904440273,0.0299725554505119,0.0653897471911263,0.0407764148866894,0.0491101876764505,0.0525260393215017,0.0355995095774744,0.0332522349706485,0.0932303823686007,0,0,"preLUCA",4,1.18966444916308,0.132037833333333,0.48269514925784,178,178.8887384
"CL0318",0.0909983697758518,0.0555127513132098,0.0409524372253437,0.0605209321984459,0.0193067635774059,0.0645332537375971,0.0403163107417812,0.0763814803341303,0.0281844569246862,0.0452131530914525,0.0858466876294083,0.0523471302217573,0.0236054368045427,0.0372130235487149,0.0575533170023909,0.0590997135774059,0.0558299549748954,0.0173604239605499,0.0337211953747759,0.0555032081637776,0,0,"postLUCA",7,0.931934313749096,0.183014658333333,0.500586906402881,81,95.76725079
"CL0196",0.101429287784314,0.0684446924078431,0.0317230603058824,0.0517748848078431,0.0102601920941176,0.069560710945098,0.0448232488627451,0.093507694572549,0.0144199453764706,0.0489602026431373,0.0694358434941176,0.0851234961333333,0.0139285215960784,0.0332566267490196,0.0329716613411765,0.0489127477607843,0.0457463208470588,0.0168505408470588,0.0259023450431373,0.0929679756470588,0,0,"postLUCA",2,0.964708419624787,0.0889271666666667,0.500887355012316,65,64.80798935
"CL0220",0.0834168787798561,0.0491734102071942,0.0488666228589928,0.109185922798561,0.0028227785294964,0.0702211100158273,0.035339749857554,0.095050412981295,0.0165430982086331,0.0420993302719424,0.0703435012316547,0.0511631899366906,0.0161207704244604,0.0490951884374101,0.0305694080661871,0.0575373945611511,0.0651183981971223,0.0142962278877698,0.0287143499856115,0.0643222561884892,0,0,"postLUCA",6,0.830646452096605,0.312166833333333,0.471649718269914,20,32.53271202
"CL0344",0.0770953032103913,0.0583939617966645,0.0376096519288005,0.0637820420641437,0.0968462281590763,0.0651369608492623,0.0314576649044259,0.0754511765003207,0.0201834458216806,0.0568069530051315,0.0625412345561257,0.0505018683187941,0.0178769020590122,0.0308306461622835,0.0544594153771648,0.0433985403899936,0.0479358482302758,0.0128735919127646,0.0289568614156511,0.0678617032661963,0.0000000827645926876203,0,"preLUCA",16,0.862673682427603,0.1660789,0.50321981008592,55,58.72092155
"CL0090",0.102432212562628,0.0708607054537988,0.0317569774907598,0.0614355954650924,0.00568995655646817,0.0746837989219713,0.0416855499548255,0.0593205437731006,0.0265182335246407,0.0539749879117043,0.106534861460986,0.0380646368347023,0.0254358150277207,0.0412582886796715,0.0371043844794661,0.0531696644671458,0.0498939665893224,0.0182103888090349,0.0377132769609856,0.0642561556806981,0,0,"postLUCA",5,0.822219292409918,0.194847807142857,0.479082165774377,117,141.7212847
"CL0497",0.118212264251852,0.0657573029654321,0.0325463330691358,0.0673405209703704,0.00964334942962963,0.0593518340049383,0.0360699531234568,0.0488869465481482,0.0225556794962963,0.0494161836641975,0.118090047479012,0.0416987329209877,0.0212662145037037,0.0512801920024691,0.0484683623407407,0.0509085692716049,0.044025504908642,0.0193061143333333,0.0408001441975309,0.0543757497876543,0,0,"postLUCA",2,0.736688607098599,0.2628197,0.479888247807492,70,71.22391051
"CL0063",0.101186488085348,0.0599236768874282,0.0350357111421605,0.0611687375775739,0.0115193781887061,0.0636617691826903,0.0311961221812201,0.0824265546085348,0.0235684817660594,0.0607397352062265,0.0978589986505103,0.0470581874745954,0.0199149095415283,0.0383634408985653,0.0455880319142724,0.0526513918009532,0.0502223474481555,0.0115528419909335,0.028850326388782,0.0775128692348473,0.0000239781920386185,0.00000000144652348105221,"preLUCA",77,0.841875371310491,0.174174588480392,0.493694100449939,174,190.7972395
"PF00045",0.079304805,0.048147607,0.049705467,0.093909741,0.002142057,0.031546663,0.023952096,0.098680687,0.010612921,0.055450075,0.057738182,0.056277689,0.005793291,0.060026289,0.058857894,0.050094932,0.03899518,0.031205881,0.084319167,0.063239375,0,0,"postLUCA",1,0.8032837198234,0.24367575,0.452955578873732,44,43.42706131
"CL0005",0.0862545466545454,0.0509737425636364,0.0590823596545455,0.0548121954545455,0.131985529181818,0.0616472966,0.0313765875454545,0.0906190649636364,0.00755687618181818,0.0256070730181818,0.0219573904727273,0.0324231718727273,0.0211453977818182,0.0229163886909091,0.0648782234,0.0376368409818182,0.0704998393818182,0.00329911905454545,0.0566613414909091,0.0686670155636364,0,0,"postLUCA",1,0.878814130777504,0.1726534,0.537068116825278,28,29.41714286
"CL0056",0.0892712374892308,0.0543654079846154,0.0547489308338461,0.0643045071692308,0.0129799684153846,0.0694190316369231,0.0324357250615385,0.0989265130984615,0.0196950209907692,0.0302290213876923,0.0553963616892308,0.0358279349384615,0.0171329996769231,0.0409708297169231,0.0542721073907692,0.0639783178953846,0.0590874637292308,0.0454173635938462,0.04583468084,0.0557065750338461,0,0,"postLUCA",2,0.992495118157722,0.23422375,0.515201755031289,230,217.7183803
"CL0030",0.0957236772957431,0.0352620854869305,0.0316879239208364,0.023082587660941,0.00666718077147125,0.0323439415160568,0.0225612264264376,0.0945029576587005,0.0133184556751307,0.0799843335302464,0.128521630031367,0.024655345742345,0.0347828606303211,0.0690237272150859,0.0374519781941748,0.0659944794697536,0.0714781748715459,0.0179904739417476,0.0284146754495892,0.086552285978342,0,0,"preLUCA",2,1.17701868018405,0.15405831,0.457303843303141,212,247.7452538
"PF00067",0.104264041,0.08751455,0.024950947,0.066965252,0.008778631,0.070606695,0.030659585,0.070370919,0.030490726,0.045895476,0.114411398,0.02306256,0.023838576,0.043996594,0.058472415,0.041669909,0.055912543,0.011843172,0.020221256,0.066074756,0,0,"LUCA",1,0.913042722477047,0.3396335,0.506671947717596,170,209.9212393
